i,e,eta,J,|k|,|u|,Esum
8850,-8.29728e-05,-8.29728e-05,1.07368e+09,0.000511249,0.000271606,1.07368e+09
8851,3.84913e-05,3.84913e-05,1.07368e+09,0.000518563,0.000270859,1.07368e+09
8852,1.51247e-05,1.51247e-05,1.07368e+09,0.000517182,0.000269935,1.07368e+09
8853,-4.42272e-05,-4.42272e-05,1.07368e+09,0.000514267,0.000269009,1.07368e+09
8854,6.7267e-05,6.7267e-05,1.07368e+09,0.000510991,0.000268053,1.07368e+09
8855,-0.000132471,-0.000132471,1.07368e+09,0.000507768,0.000267034,1.07368e+09
8856,0.000117936,0.000117936,1.07368e+09,0.000513236,0.00026564,1.07368e+09
8857,-0.000131634,-0.000131634,1.07368e+09,0.000520314,0.000263927,1.07368e+09
8858,8.77328e-05,8.77328e-05,1.07368e+09,0.000533688,0.000262143,1.07368e+09
8859,-7.5943e-05,-7.5943e-05,1.07368e+09,0.000549311,0.000260504,1.07368e+09
8860,4.42919e-05,4.42919e-05,1.07368e+09,0.000553241,0.000258998,1.07368e+09
8861,-2.65045e-05,-2.65045e-05,1.07368e+09,0.000556427,0.000257233,1.07368e+09
8862,-2.87094e-05,-2.87094e-05,1.07368e+09,0.000540777,0.000255337,1.07368e+09
8863,6.16407e-05,6.16407e-05,1.07368e+09,0.000537489,0.000253143,1.07368e+09
8864,-0.000175814,-0.000175814,1.07368e+09,0.000529566,0.00025095,1.07368e+09
8865,0.000128978,0.000128978,1.07368e+09,0.000542505,0.00024888,1.07368e+09
8866,-0.000197936,-0.000197936,1.07368e+09,0.000570766,0.000246797,1.07368e+09
8867,0.000130449,0.000130449,1.07368e+09,0.000594274,0.000244546,1.07368e+09
8868,-0.000143575,-0.000143575,1.07368e+09,0.00062783,0.00024226,1.07368e+09
8869,1.1746e-05,1.1746e-05,1.07368e+09,0.00062415,0.000240213,1.07368e+09
8870,-6.7658e-05,-6.7658e-05,1.07368e+09,0.000643749,0.000238186,1.07368e+09
8871,-9.49952e-05,-9.49952e-05,1.07368e+09,0.000617238,0.000236054,1.07368e+09
